dist,rho,n,trials,true_paired_identical,frac_empirical_differ,max_rel_diff_empirical,median_ratio_empirical_old,median_ratio_empirical_rerun,median_ratio_truncated_old,median_ratio_truncated_rerun,true_gittins_ref_old,true_gittins_ref_rerun
1-6-14,0.8,10,100,True,0.31,4.768320741065701e-05,1.3873233630255517,1.3873235967973638,1.7787860093150072,1.7787860093150072,27.02858317223873,27.014170628050145
1-6-14,0.8,100,100,True,0.0,0.0,1.0440976079476432,1.0440976079476432,1.3727471998943934,1.3727471998943934,27.02858317223873,27.014170628050145
1-6-14,0.8,1000,100,True,0.0,0.0,1.0051323853691971,1.0051323853691971,1.1695966528537503,1.1695966528537503,27.02858317223873,27.014170628050145
1-6-14,0.98,10,100,True,1.0,1.5686509165540141,3.6769909293419785,3.775114309703482,3.6769909293419785,3.775114309703482,250.57280262316408,246.59908642224497
1-6-14,0.98,100,100,True,1.0,0.7314408673491762,1.3358551072170752,1.3748997686513313,1.72003952278452,1.8284888188170316,250.57280262316408,246.59908642224497
1-6-14,0.98,1000,100,True,1.0,0.651084619205707,1.056890350776301,1.03457093144879,1.3380707339084972,1.3601041611248021,250.57280262316408,246.59908642224497
bounded-Pareto,0.8,10,100,True,0.1,0.00011035195626088542,1.1605366188567694,1.1605366188567694,1.236797232998343,1.236797232998343,25.377023477841497,25.472018333538735
bounded-Pareto,0.8,100,100,True,0.11,7.380239304745218e-05,1.0462087636144808,1.0462087636144808,1.1518390216619045,1.1518390216619045,25.377023477841497,25.472018333538735
bounded-Pareto,0.8,1000,100,True,0.1,3.629217602778985e-05,1.0166497564266204,1.0166497564266204,1.0768847632172427,1.0768847632172427,25.377023477841497,25.472018333538735
bounded-Pareto,0.98,10,100,True,1.0,0.7024639220729749,1.573493249119619,1.5933764420255814,1.573493249119619,1.5933764420255814,143.17929266997396,146.8778888249481
bounded-Pareto,0.98,100,100,True,1.0,0.8089808603532359,1.1361089326609624,1.1262659816794216,1.1699388543705407,1.1803625468778747,143.17929266997396,146.8778888249481
bounded-Pareto,0.98,1000,100,True,1.0,1.0025242652428858,1.1121868853538568,1.0842913199901174,1.0893871603107075,1.0614733085029036,143.17929266997396,146.8778888249481
