dist,trial,true_gittins,empirical_gittins,fcfs,nn_tail_only,nn_no_hazard,nn_full
1-6-14,0,26.689561866532863,27.020503361766185,29.145714199698947,29.475324234821876,27.050969192172605,27.048666131460113
1-6-14,1,25.872645333987208,26.140153660679623,28.170733974948405,28.441265657246777,26.40074746112508,26.650883344571817
1-6-14,2,26.698544143481637,26.82476590268415,28.984104056869715,29.09024431098582,26.966997793847288,26.85986906075091
1-6-14,4,27.538609110356603,28.01068043098542,29.88004121445253,30.182390438247012,28.1330557572665,27.883917728102375
1-6-14,3,26.90493055136787,26.908720979316165,29.316663048503486,29.31695350660315,27.06704375967356,27.19926953305594
1-6-14,8,26.180702726848185,26.273310795719887,28.538871291953463,28.58610870845262,26.484991167692023,26.306323120342732
1-6-14,9,26.106560583218027,26.23119824043287,28.390257326366658,28.46385824332418,26.24903450982012,26.275001135870802
1-6-14,6,26.71773872325292,27.008916879062692,29.117504198526074,29.41091241380673,27.062938177938474,27.0118297670559
1-6-14,5,28.142209375615526,28.184992909198353,30.639099862123302,30.66726334449478,28.25614536143392,28.24970730746504
1-6-14,7,25.48693951796271,25.530138205112998,27.755162623326807,27.776756430788698,25.6210208197402,25.888128398283808
1-6-14,10,28.03763365848852,28.135477583998426,30.489021381416887,30.572797319933,28.184790225637997,28.245193221006996
1-6-14,11,26.653894140648625,26.697108822284484,28.91091669522101,28.94219236893556,26.766423114909394,26.83701167032834
1-6-14,12,25.504037416518027,25.752994151076447,27.68026589787199,27.827572074501184,25.774998755548182,25.80783880200772
1-6-14,13,27.50244276583382,27.776124152624444,30.043440247917882,30.325678868874686,27.816987216734454,27.839875266318032
1-6-14,14,25.429316493911646,25.948608433128708,27.755445305424168,28.302937506289627,25.99579490791989,26.3682310556506
1-6-14,16,25.858150724163327,26.060805580558053,28.154572661811635,28.339021356681116,26.07195953686278,26.06314070043368
1-6-14,15,26.298024795330807,26.4488023424341,28.7671052528497,28.918113713815668,26.704897175760898,26.45427827176936
1-6-14,17,26.417922531635288,26.550390794792115,28.801030812666298,28.93244876404038,26.561556882578756,26.85689964048504
1-6-14,18,26.440995514801156,26.56776936110834,28.860333898136155,28.94203269211602,26.633745440047843,26.58451230937905
1-6-14,19,26.553950153021425,26.569474926489715,28.860692496949575,28.878393575100514,26.607506650931132,26.642965215130122
bounded-Pareto,1,25.205822230153068,25.7327408993576,132.95676262986754,25.99090629708938,26.663548060908873,25.694129589975418
bounded-Pareto,0,26.653107248834257,26.98496917029558,139.59499055840303,27.41451886392539,30.587427453851788,26.9976189833905
bounded-Pareto,2,24.804742691775363,25.280682799983225,120.4768447762446,25.26522941743908,26.62577695759762,25.26429581009101
bounded-Pareto,3,26.175980780902286,26.953269674286872,138.75276734776452,26.988611976532468,30.216377705846654,26.920109852316408
bounded-Pareto,4,27.20564827975623,27.94369497069647,145.54266418738683,28.84811016569638,31.070628711618216,27.899926011020465
bounded-Pareto,6,25.751413874026095,27.068996902281047,145.42431540411152,28.995915516755844,30.87953552989768,26.92085666009575
bounded-Pareto,5,26.073396520581806,26.92630497195551,133.80210647399943,26.452263713280733,28.11963703774123,26.875535887441774
bounded-Pareto,8,24.65487331970514,25.274935679035288,115.65724359371451,26.21113031448099,28.433345929092077,25.244840281649427
bounded-Pareto,7,24.5170831808013,25.436596501932073,122.67920968069961,25.100860890787068,27.572582265609114,25.348007524913566
bounded-Pareto,9,23.275017798936354,23.762995153542633,103.67444072739748,23.64215345685366,26.647765911820212,23.707324583976668
bounded-Pareto,10,24.66216813882102,25.078162208440354,117.85946751863686,25.028069494038295,27.616104951032593,25.06890914406231
bounded-Pareto,12,23.60873663982035,23.93562304320601,109.49939541813313,24.048533241206577,25.589253341394425,23.918125580290628
bounded-Pareto,11,26.89960144107439,27.692183114531463,134.26528217896484,27.54442300437604,29.49706069865701,27.698474988682662
bounded-Pareto,13,26.381913381630117,26.62143784914823,131.49061035551432,26.80824295781599,28.894847904617148,26.577330780315442
bounded-Pareto,14,26.014683789726167,26.284000199880072,136.41462802318608,26.430926644013592,27.395702178692783,26.26932520487707
bounded-Pareto,15,24.31752855099799,24.778099570957785,117.13037204385765,24.908310361265986,27.18458888635563,24.75269280991564
bounded-Pareto,16,24.708417718898783,25.10727137238667,121.6999223763196,24.967543779755744,27.544345684123375,25.13977934175119
bounded-Pareto,17,26.496616285321704,26.96571161160563,129.80485194256926,26.65086584224466,27.1289224764522,26.996579445207797
bounded-Pareto,19,24.734675821889304,25.40374427798585,123.13175925925927,25.438068872243026,30.1139696213067,25.45196483562214
bounded-Pareto,18,27.599485512079443,28.248610123017638,153.57886245738848,28.559532199496072,30.92192159478287,28.23634300429821
