seed,policy,mrt,ratio
8,genie,27.480613644154953,1.0
8,fcfs,30.344221558352512,1.1042046568274737
8,static,30.524744110877123,1.110773744216212
8,kupd_500,27.822409520544593,1.0124377090270085
8,nn_tail_only_500,30.636342622067687,1.1148347347252177
8,nn_no_hazard_500,28.05753758754102,1.0209938522791604
8,nn_full_500,27.943823399774715,1.0168558738031779
3,genie,27.470321640268196,1.0
3,fcfs,30.47127344281411,1.1092434170172538
3,static,30.723780487804884,1.1184354115012438
3,kupd_500,27.830591779224566,1.013114886082304
3,nn_tail_only_500,30.793817899135167,1.1209849779842085
3,nn_no_hazard_500,28.061927412302015,1.0215361792912754
3,nn_full_500,27.95510057331649,1.0176473701107913
0,genie,27.59134497947743,1.0
0,fcfs,30.481830513564923,1.104760588374269
0,static,30.73001852037241,1.1137557282267154
0,kupd_500,27.937528281109223,1.0125468077721216
0,nn_tail_only_500,30.74964611072179,1.114467095880738
0,nn_no_hazard_500,28.22406246871559,1.0229317378224505
0,nn_full_500,28.074856842526778,1.0175240410863982
1,genie,25.12946009047133,1.0
1,fcfs,27.714867454642732,1.102883522163365
1,static,27.739864779415335,1.1038782639796478
1,kupd_500,25.35170436305268,1.0088439732402217
1,nn_tail_only_500,27.924067318449342,1.11120840710134
1,nn_no_hazard_500,25.614560046694876,1.019304034168545
1,nn_full_500,25.515141787051903,1.0153477908077626
10,genie,25.632991573768773,1.0
10,fcfs,28.50198670644267,1.1119258797560658
10,static,28.50198670644267,1.1119258797560658
10,kupd_500,25.99655414246088,1.0141833842392456
10,nn_tail_only_500,28.740934212592244,1.1212477533057026
10,nn_no_hazard_500,26.22109750353274,1.0229433200596765
10,nn_full_500,26.05961009054273,1.0166433369880452
2,genie,27.284300754088726,1.0
2,fcfs,30.07850749192048,1.1024107879111773
2,static,30.13155175790814,1.1043549193172097
2,kupd_500,27.52104837919891,1.0086770640466094
2,nn_tail_only_500,30.257378807168738,1.108966620763938
2,nn_no_hazard_500,27.76275291352463,1.0175358043348135
2,nn_full_500,27.590345705611597,1.0112168882127943
5,genie,25.0109710721583,1.0
5,fcfs,27.63939778470803,1.1050909500861261
5,static,27.779098290138727,1.110676519116119
5,kupd_500,25.2809409613937,1.0107940586735524
5,nn_tail_only_500,27.888852564791915,1.1150647643520413
5,nn_no_hazard_500,25.646546402839014,1.0254118614126193
5,nn_full_500,25.480761372190557,1.0187833690533998
11,genie,27.553017211447845,1.0
11,fcfs,30.838811070879423,1.1192535044062755
11,static,31.079164227964885,1.1279768015769969
11,kupd_500,27.804922870889342,1.0091425798310334
11,nn_tail_only_500,31.04557214423888,1.1267576217148347
11,nn_no_hazard_500,28.05744109915183,1.0183073920301695
11,nn_full_500,27.89351371459749,1.012357866310488
9,genie,26.87340738940204,1.0
9,fcfs,29.882495867768593,1.111972718411333
9,static,30.088400583373847,1.119634743275603
9,kupd_500,27.259339815264955,1.0143611273505686
9,nn_tail_only_500,30.27543947496354,1.1265947423884604
9,nn_no_hazard_500,27.468102090422946,1.0221294863135009
9,nn_full_500,27.453401555663586,1.0215824572543888
6,genie,26.269999493901516,1.0
6,fcfs,28.996455286198692,1.1037859095859561
6,static,29.3305698668961,1.1165043940600412
6,kupd_500,26.50313932891341,1.008874755976528
6,nn_tail_only_500,29.26008654284124,1.1138213592137245
6,nn_no_hazard_500,26.87269295004808,1.022942271326898
6,nn_full_500,26.649938255984615,1.0144628385764263
7,genie,25.290982545892266,1.0
7,fcfs,28.03517905507072,1.1085049386356942
7,static,28.25495987561441,1.1171950249201983
7,kupd_500,25.588571571872805,1.0117666059608614
7,nn_tail_only_500,28.335638479285784,1.1203850395242168
7,nn_no_hazard_500,25.87854448791253,1.023232072575832
7,nn_full_500,25.76508125188083,1.0187457606729307
4,genie,25.927280068211456,1.0
4,fcfs,28.940942421506673,1.1162351910947328
4,static,29.13384642391414,1.1236753854344383
4,kupd_500,26.207085966496138,1.0107919495430506
4,nn_tail_only_500,29.19577540375163,1.1260639498991474
4,nn_no_hazard_500,26.44436001604975,1.0199434706023123
4,nn_full_500,26.39416140034106,1.0180073394085802
12,genie,24.87621163583755,1.0
12,fcfs,27.361185801384728,1.0998935932015965
12,static,27.455424718404466,1.1036819078533329
12,kupd_500,25.094094244083912,1.0087586732029756
12,nn_tail_only_500,27.543835382866593,1.1072359323067493
12,nn_no_hazard_500,25.45514673969205,1.0232726394327851
