trial,true_gittins,fcfs,random_knots,cmaes_seed0,cmaes_seed1,cmaes_seed2
0,26.274393075482184,28.600944196290737,28.014122805211912,26.408665115991845,26.416434202671827,26.412040303822483
1,29.064975444765054,31.69011350824559,31.064978120043566,29.238423687680342,29.24254208786379,29.23861879192066
2,26.255091161866932,28.595210526315793,28.041840119165837,26.34812353525323,26.350472095332673,26.34829572989077
3,26.640774141899325,29.009525868107673,28.363167617332135,26.78190253177224,26.782318623036126,26.78007665365756
4,27.56737443398193,30.156076807942256,29.49304958223603,27.72359504367102,27.72857259241015,27.72350504916542
5,26.25000562542693,28.543762606983567,28.012929842889857,26.39260859083056,26.395394784425605,26.394376582151324
6,26.23864962078392,28.45419480813105,27.984590056111642,26.377791708630504,26.379440938893797,26.378924218444908
7,28.23497466799724,30.754829200890462,30.10633146541798,28.33045117832195,28.33323654717126,28.332972672142475
8,27.15935390337546,29.498889177731566,28.969581067029278,27.281142617181253,27.285851663733805,27.282294032954727
9,26.67486191786406,28.98547946601447,28.42816202996026,26.77604728421482,26.778112707632733,26.775785182920618
10,26.115844615789367,28.497857851172768,27.895359116022096,26.306754497804224,26.31037581203327,26.307935765891568
11,27.396353124305094,29.768155538035458,29.182484484605897,27.505603331513942,27.50857177512281,27.504694644914792
12,27.041680601839847,29.43517869614671,28.830934687606014,27.15880310498274,27.160589268253744,27.15838784347375
13,26.785655559260203,29.25024535665954,28.50268794006315,26.91543236511268,26.917412477690387,26.917633514425248
14,26.345547567296443,28.78743918241097,28.23788747701053,26.519773658251125,26.520070431365994,26.518108802875776
15,25.778486015037593,28.065526416040104,27.549272581453632,25.890640802005013,25.892204110275692,25.89161042606516
16,27.56409489396991,30.090475851992263,29.43791770327371,27.66839217312325,27.67072088615093,27.671588674327687
17,26.973782769361737,29.52062839785633,28.79212587304351,27.091420086288622,27.09447153055894,27.092118134153658
18,27.81525721116767,30.35441173068024,29.721479831867963,27.93141909609749,27.937724625944778,27.93364993058769
19,26.133324479584903,28.41748594724813,27.89711491341858,26.25676179298701,26.257707908662262,26.256411761072332
