run,dist,n,policy,median,q1,q3,pooled,pooled_lo,pooled_hi,frac_below_1,trials
"old (4,000 bp)",1-6-14,10,empirical,3.6769909293419785,2.3101723226877504,5.510529064039714,4.03323144963378,3.6116300436543995,4.472719937290091,0.0,100
"old (4,000 bp)",1-6-14,10,truncated,3.6769909293419785,2.3101723226877504,5.510529064039714,4.03323144963378,3.604908984352059,4.475649128303479,0.0,100
"old (4,000 bp)",1-6-14,100,empirical,1.3358551072170752,1.1196005982394759,1.6360255583235324,1.5027732143567227,1.3864392086032866,1.6287177188026998,0.1,100
"old (4,000 bp)",1-6-14,100,truncated,1.72003952278452,1.3810267319907579,2.303797330464546,1.936541253741508,1.7830822233054622,2.097081142357037,0.03,100
"old (4,000 bp)",1-6-14,1000,empirical,1.056890350776301,0.9827138328088856,1.1004390503471893,1.0324004039026302,1.006679508078281,1.0577187052723387,0.32,100
"old (4,000 bp)",1-6-14,1000,truncated,1.3380707339084972,1.2390740708104198,1.4696701682820406,1.3563435366266532,1.307120759113919,1.407810628726332,0.05,100
"old (4,000 bp)",bounded-Pareto,10,empirical,1.573493249119619,1.361046628020939,1.8619270484674222,1.668510807373339,1.5780762264071992,1.761138537704375,0.03,100
"old (4,000 bp)",bounded-Pareto,10,truncated,1.573493249119619,1.361046628020939,1.8619270484674222,1.668510807373339,1.578162445032802,1.7612520843075385,0.03,100
"old (4,000 bp)",bounded-Pareto,100,empirical,1.1361089326609624,1.0054467186726723,1.2372122263494976,1.1340739837019314,1.0902154426193995,1.1784955557387224,0.25,100
"old (4,000 bp)",bounded-Pareto,100,truncated,1.1699388543705407,1.075463271264521,1.272367863723437,1.180157818975914,1.134511094225449,1.2287688995043793,0.18,100
"old (4,000 bp)",bounded-Pareto,1000,empirical,1.1121868853538568,0.9955542359026595,1.178511494392293,1.0860450180868235,1.0512529312896663,1.1194429057847077,0.28,100
"old (4,000 bp)",bounded-Pareto,1000,truncated,1.0893871603107075,0.9680842886571006,1.1549540594131038,1.0551643159886779,1.0249177306750448,1.083708394816791,0.28,100
"new (40,000 bp)",1-6-14,10,empirical,3.815515842186743,2.641608880403371,6.372249995743208,4.263728598730172,3.8682407863482817,4.6592544666034525,0.0,100
"new (40,000 bp)",1-6-14,10,truncated,3.815515842186743,2.641608880403371,6.372249995743208,4.263728598730172,3.8783850524684684,4.66330720529417,0.0,100
"new (40,000 bp)",1-6-14,100,empirical,1.3608745374991984,1.1523621557243646,1.730174969134857,1.5217239058948677,1.421990365419112,1.6302880493759209,0.0,100
"new (40,000 bp)",1-6-14,100,truncated,1.7977047734299423,1.4823739661806397,2.29951791818623,1.9776700815243582,1.8481321897451215,2.1163208387471695,0.0,100
"new (40,000 bp)",1-6-14,1000,empirical,1.039492983643986,1.0184044081328933,1.0705217994572673,1.0516816496845733,1.042207086196421,1.0622733977926608,0.0,100
"new (40,000 bp)",1-6-14,1000,truncated,1.3764770719243753,1.3142605894086161,1.4721302336948545,1.3997811336958328,1.37402504583985,1.4264370637909798,0.0,100
"new (40,000 bp)",bounded-Pareto,10,empirical,1.5865144505413304,1.3872253208691956,1.8932414016384227,1.66619384027577,1.59558361751875,1.7425278309151169,0.0,100
"new (40,000 bp)",bounded-Pareto,10,truncated,1.5865144505413304,1.3872253208691956,1.8932414016384227,1.66619384027577,1.5962951216146377,1.7433380662587517,0.0,100
"new (40,000 bp)",bounded-Pareto,100,empirical,1.1317870273517565,1.0756546824945548,1.2272761038037263,1.1752983433093362,1.1460326041784252,1.209799462261149,0.0,100
"new (40,000 bp)",bounded-Pareto,100,truncated,1.195254840806269,1.1130338900423404,1.2745187373190348,1.2205793912403273,1.193691862188023,1.248896548339819,0.0,100
"new (40,000 bp)",bounded-Pareto,1000,empirical,1.098538658780628,1.0731985769870074,1.1266677045147475,1.105717775845678,1.0960555490569723,1.1159992892518533,0.0,100
"new (40,000 bp)",bounded-Pareto,1000,truncated,1.067234553938249,1.0486853921820234,1.0948888068046814,1.0736029289893498,1.0672122631341256,1.08030813013553,0.0,100
