dist,policy,ratio,ci,n,spearman_vs_true,spearman_vs_empirical
1-6-14,empirical_gittins,1.0068191806211115,0.0025746842872303526,20,0.9408617198105445,1.0
1-6-14,fcfs,1.08893931379933,0.0012217946056726444,20,,
1-6-14,mean_excess,1.0149032194623404,0.0025030628959316686,20,0.7969974994482499,0.6855754962500121
1-6-14,imitation_tail_only,1.0948673418103925,0.0031589960753587673,20,0.6852946697491866,0.5938379743201277
1-6-14,imitation_no_hazard,1.0101610371389633,0.0028287368808472334,20,0.9753904501388495,0.9338203165933961
1-6-14,imitation_full,1.011475838754293,0.003997536227109476,20,0.9390526161313991,0.9908384679129444
1-6-14,labelfree_tail_only|linear|seed0,1.015124181182001,0.002570450877317381,20,0.7914750326375035,0.6812168735526397
1-6-14,labelfree_tail_only|linear|seed1,1.015124181182001,0.002570450877317381,20,0.7914741466449482,0.6812159122130411
1-6-14,labelfree_tail_only|linear|seed2,1.015124181182001,0.002570450877317381,20,0.7914748497498179,0.6812166415457954
1-6-14,labelfree_no_hazard|linear|seed0,1.1030316175401615,0.002902598027037828,20,0.9174778503186299,0.8622573923142625
1-6-14,labelfree_no_hazard|linear|seed1,1.0731375193072847,0.020737589144073178,20,0.9333194050452281,0.8728008362987992
1-6-14,labelfree_no_hazard|linear|seed2,1.1052292006231208,0.003354106945155289,20,0.9067444753147988,0.8505592094270694
1-6-14,labelfree_full|linear|seed0,1.0811500057497851,0.02180607480693131,20,0.9137928911839589,0.8717169113434231
1-6-14,labelfree_full|linear|seed1,1.0589604124797314,0.02571971765379565,20,0.8985252350468628,0.8589160500368797
1-6-14,labelfree_full|linear|seed2,1.1059505183124458,0.004795784004795632,20,0.9316564441544136,0.8795200027584578
1-6-14,labelfree_tail_only|mlp8|seed0,1.015465047383762,0.0026961977181121284,20,0.7820675402781798,0.6728859817418329
1-6-14,labelfree_tail_only|mlp8|seed1,1.0154693788290945,0.00269463405672491,20,0.7848576947101428,0.6751415960503966
1-6-14,labelfree_tail_only|mlp8|seed2,1.015498282782772,0.0026955495865060466,20,0.7835387726183276,0.6739997908202128
1-6-14,labelfree_no_hazard|mlp8|seed0,1.0594533922831633,0.026329567752469717,20,0.900360217784546,0.8658072922301857
1-6-14,labelfree_no_hazard|mlp8|seed1,1.0882221548403894,0.02237548254522036,20,0.8862833681974249,0.8513067300704321
1-6-14,labelfree_no_hazard|mlp8|seed2,1.1018745226817586,0.003533089689224658,20,0.9193337836875826,0.8653998807803962
1-6-14,labelfree_full|mlp8|seed0,1.0587332300062493,0.026385019822906464,20,0.8768194435980036,0.8314489579487031
1-6-14,labelfree_full|mlp8|seed1,1.1130461498632147,0.004588780157599656,20,0.8951261641011342,0.8770814567393611
1-6-14,labelfree_full|mlp8|seed2,1.0897639028030572,0.019061166001935505,20,0.8773335376796789,0.8855160348486573
bounded-Pareto,empirical_gittins,1.022991469383818,0.0047096153280771335,20,0.47186281805847397,1.0
bounded-Pareto,fcfs,5.038399842873531,0.1429799779368291,20,,
bounded-Pareto,mean_excess,1.0333683416414252,0.003954547025734073,20,0.2491579983413182,0.7207782722975616
bounded-Pareto,imitation_tail_only,1.0303174447204417,0.012546089962814757,20,0.60833381959199,0.8472762864600474
bounded-Pareto,imitation_no_hazard,1.1159327734487559,0.02241641249138031,20,0.5305874756477107,0.9776195569430769
bounded-Pareto,imitation_full,1.022006631430592,0.004247671398890443,20,0.47235231888866813,0.9972048034763624
bounded-Pareto,labelfree_tail_only|linear|seed0,1.0344081131117857,0.004132075072466425,20,0.22072784273442023,0.7030372702474594
bounded-Pareto,labelfree_tail_only|linear|seed1,1.0344081108067786,0.004132075440062317,20,0.22072237322613414,0.7030338168323077
bounded-Pareto,labelfree_tail_only|linear|seed2,1.0344081131117857,0.004132075072466425,20,0.22072719440300287,0.7030368687153057
bounded-Pareto,labelfree_no_hazard|linear|seed0,1.0129997856201025,0.004199623093799798,20,0.5899556915760467,0.9412601817004187
bounded-Pareto,labelfree_no_hazard|linear|seed1,1.0133751051559972,0.004216009948080486,20,0.5394698556876986,0.9395497051522155
bounded-Pareto,labelfree_no_hazard|linear|seed2,1.0142089434604764,0.0038349650306764072,20,0.5746710579009409,0.9208332543680836
bounded-Pareto,labelfree_full|linear|seed0,1.0150556680551,0.003648789805731275,20,0.5169661782586499,0.8998863743438903
bounded-Pareto,labelfree_full|linear|seed1,1.0151661177567421,0.003745043845579874,20,0.5013714080394194,0.8811805668012491
bounded-Pareto,labelfree_full|linear|seed2,1.0136510572529387,0.0041635842374976965,20,0.5584550919700092,0.9382096302726085
bounded-Pareto,labelfree_tail_only|mlp8|seed0,1.0227396848387165,0.0038832127531845955,20,0.5909651211693412,0.8548605944083179
bounded-Pareto,labelfree_tail_only|mlp8|seed1,1.022094065325917,0.005347964708816949,20,0.6357101861217125,0.84601867964913
bounded-Pareto,labelfree_tail_only|mlp8|seed2,1.0212412210490056,0.003946855343156207,20,0.6238422528302636,0.6978279887568487
bounded-Pareto,labelfree_no_hazard|mlp8|seed0,1.0156243684287753,0.004260864819156291,20,0.5451492970181404,0.7510071611925786
bounded-Pareto,labelfree_no_hazard|mlp8|seed1,1.0156421648141989,0.004656010295512437,20,0.5079067424334878,0.8306778995217755
bounded-Pareto,labelfree_no_hazard|mlp8|seed2,1.0194319065395137,0.006693222383141455,20,0.5064790909282192,0.4136550630437334
bounded-Pareto,labelfree_full|mlp8|seed0,1.0353793516796823,0.008286194706773864,20,0.350741412324049,0.7209319199189215
bounded-Pareto,labelfree_full|mlp8|seed1,1.035693092099267,0.010706602095415449,20,0.30048779472173004,0.4893596310624074
bounded-Pareto,labelfree_full|mlp8|seed2,1.0190757838167015,0.005989805180072906,20,0.47520869776785224,0.7761542130830462
