epoch,train_mse,val_mse,val_r2,feature_set
1,0.7344648910727152,0.7075506448745728,0.2398891625489591,tail_only
2,0.6813261608658293,0.7033886313438416,0.24436035003672896,tail_only
3,0.6769315668662247,0.7005014419555664,0.24746201344372165,tail_only
4,0.67412327707504,0.6988141536712646,0.24927464144440603,tail_only
5,0.6716207383676795,0.6958663463592529,0.2524414257598592,tail_only
6,0.6690257658513705,0.6956090927124023,0.2527177894185759,tail_only
7,0.6665900371393576,0.6926148533821106,0.2559344549411978,tail_only
8,0.6645539168836341,0.6903543472290039,0.2583628821323083,tail_only
9,0.663891397987743,0.6913581490516663,0.257284513185031,tail_only
10,0.6635109859210775,0.6879618763923645,0.2609330769648457,tail_only
11,0.6637440432044933,0.6867867112159729,0.2621955389424313,tail_only
12,0.6626145993617625,0.6888751983642578,0.25995190913757127,tail_only
13,0.6617466268814894,0.6899703741073608,0.2587753785849156,tail_only
14,0.6614001057127369,0.686290442943573,0.2627286723582042,tail_only
15,0.6609658593624635,0.6886391043663025,0.26020554130906726,tail_only
16,0.6605163085748892,0.6863701343536377,0.2626430610950661,tail_only
17,0.6598269587362587,0.6881529688835144,0.2607277892239176,tail_only
18,0.6599223661570086,0.6873416304588318,0.26159939768602425,tail_only
19,0.658847577198877,0.6865037083625793,0.26249956457996315,tail_only
20,0.6586240152618863,0.6871768832206726,0.26177638312455365,tail_only
21,0.6582975382892042,0.6876094937324524,0.26131163626751797,tail_only
22,0.6585035320693409,0.6865243911743164,0.2624773453516094,tail_only
23,0.6581393677984869,0.689128577709198,0.2596797075821484,tail_only
24,0.6578555771656349,0.6872115731239319,0.26173911629198343,tail_only
25,0.6575031077542058,0.6887989044189453,0.26003387055628235,tail_only
26,0.6573150227519762,0.6861655116081238,0.26286288418134374,tail_only
27,0.6571936488208227,0.6878983974456787,0.26100127142650775,tail_only
28,0.6570947916456636,0.6884986162185669,0.26035646557774095,tail_only
29,0.6566667777533859,0.6882801055908203,0.26059120820351844,tail_only
30,0.6564741295738956,0.6889983415603638,0.25981961828518274,tail_only
31,0.6564168013895478,0.6890284419059753,0.25978728194420686,tail_only
32,0.6564145218054139,0.6882231831550598,0.2606523591057599,tail_only
33,0.656096005576652,0.6896434426307678,0.25912659607056465,tail_only
34,0.6558563536057361,0.6863705515861511,0.2626426128685575,tail_only
35,0.6558447614496028,0.6879720091819763,0.26092219146392315,tail_only
36,0.6557659480647922,0.6870999336242676,0.26185904889920697,tail_only
37,0.6556504348891031,0.6872193217277527,0.2617307920853956,tail_only
38,0.6555984488609276,0.687149167060852,0.2618061581711949,tail_only
39,0.6555343891893232,0.6871774196624756,0.26177580683332835,tail_only
40,0.6555197064499739,0.6872079968452454,0.2617429582334856,tail_only
1,0.23986878903790484,0.1821434199810028,0.8043261093734152,no_hazard
2,0.16141458791655322,0.1722044050693512,0.8150034410989387,no_hazard
