true_gittins,empirical_gittins,fcfs,mean_excess,imitation_tail_only,imitation_no_hazard,imitation_full,labelfree_tail_only|linear|seed0,labelfree_tail_only|linear|seed1,labelfree_tail_only|linear|seed2,labelfree_no_hazard|linear|seed0,labelfree_no_hazard|linear|seed1,labelfree_no_hazard|linear|seed2,labelfree_full|linear|seed0,labelfree_full|linear|seed1,labelfree_full|linear|seed2,labelfree_tail_only|mlp8|seed0,labelfree_tail_only|mlp8|seed1,labelfree_tail_only|mlp8|seed2,labelfree_no_hazard|mlp8|seed0,labelfree_no_hazard|mlp8|seed1,labelfree_no_hazard|mlp8|seed2,labelfree_full|mlp8|seed0,labelfree_full|mlp8|seed1,labelfree_full|mlp8|seed2,dist,trial
26.689561866532863,27.020503361766185,29.145714199698947,27.249046663321625,29.475324234821876,27.050969192172605,27.048666131460113,27.256359859508283,27.256359859508283,27.256359859508283,29.641615454089315,29.595934972403413,29.655011540391367,29.937027395885604,29.938637230306075,29.856668138484697,27.30467074761666,27.303347516307074,27.306967987957854,29.90160361264425,29.907757551430006,29.600064224786756,29.710898544907174,29.99383161063723,30.068144706472655,1-6-14,0
25.872645333987208,26.140153660679623,28.170733974948405,26.3658850814279,28.441265657246777,26.40074746112508,26.650883344571817,26.379212489016936,26.379212489016936,26.379212489016936,28.66129896401643,28.62296532417908,28.6929475469462,28.838107644210137,29.40334927154213,28.75323096099226,26.43519851243385,26.435463740575006,26.435546905331126,29.31245039743354,29.326567359365743,28.636611700279943,30.23744171315311,28.84182594658657,28.82055518093954,1-6-14,1
26.698544143481637,26.82476590268415,28.984104056869715,27.038626465661643,29.09024431098582,26.966997793847288,26.85986906075091,27.041771254647223,27.041771254647223,27.041771254647223,29.486408260816273,26.848642194713406,29.53461494464191,29.284111206438695,26.827959104465414,29.36367079298934,27.046705478612573,27.04608142337705,27.042209012542386,26.92345242472525,29.80789863953916,29.4188967193692,26.896498345385467,29.57910650815051,29.41482452914982,1-6-14,2
26.90493055136787,26.908720979316165,29.316663048503486,27.14524814569137,29.31695350660315,27.06704375967356,27.19926953305594,27.144763311825365,27.144763311825365,27.144763311825365,29.427421656716717,29.32037769603409,29.449080182516234,27.247661058513742,27.241672797443165,29.351124645721523,27.147812016321936,27.14631811694707,27.14649018070715,27.249685219803414,29.465556493597866,29.376937425877912,27.148929224708034,29.502564875675894,27.291941948581883,1-6-14,3
27.538609110356603,28.01068043098542,29.88004121445253,28.20067729083666,30.182390438247012,28.1330557572665,27.883917728102375,28.201115145330014,28.201115145330014,28.201115145330014,30.579699723274395,28.032098993189802,30.626522088983968,27.956026337997766,27.880216277746158,30.288178909975862,28.20328518438561,28.204116342511725,28.207507506918137,28.061820108727648,28.070350519105844,30.499613172924068,28.04219594528291,30.83359645163189,30.232062685219713,1-6-14,4
28.142209375615526,28.184992909198353,30.639099862123302,28.41679791215285,30.66726334449478,28.25614536143392,28.24970730746504,28.41839826669293,28.41839826669293,28.41839826669293,31.068415402796926,31.030350206815047,31.226442978136696,31.27784262359661,31.292391569824698,31.19942209966516,28.424218436084303,28.424729761670278,28.423645065983848,31.46570868623203,31.467793184951745,31.04916486113847,31.363971242859957,31.338659641520582,31.417589915304315,1-6-14,5
26.71773872325292,27.008916879062692,29.117504198526074,27.246210657341,29.41091241380673,27.062938177938474,27.0118297670559,27.234917906466716,27.234917906466716,27.234917906466716,29.485548376899217,27.030658526465537,29.650098393693323,29.414000553217555,27.037594689111494,29.53615632347421,27.23936419496967,27.238627427735956,27.23715132475846,27.045563195226524,29.603469069211464,29.426750834765773,27.02920435461245,29.752007389405886,29.49586548910359,1-6-14,6
25.48693951796271,25.530138205112998,27.755162623326807,25.71479051742887,27.776756430788698,25.6210208197402,25.888128398283808,25.742237973782547,25.742237973782547,25.742237973782547,28.12103683492497,27.99186685647626,28.15718785218578,27.86859382723372,25.994926745358566,28.0607424323309,25.746217846056506,25.74772307570635,25.74713901575815,25.80825058821203,28.57742155525239,28.044244221681797,25.876752080985433,28.41025446349131,27.884440555983943,1-6-14,7
26.180702726848185,26.273310795719887,28.538871291953463,26.488138717995575,28.58610870845262,26.484991167692023,26.306323120342732,26.49003411098252,26.49003411098252,26.49003411098252,28.79839901727884,26.2939221538649,28.824866500172586,26.250246695498568,26.27386489614424,28.5734584069359,26.49241538242878,26.49372642179854,26.494241335201313,26.294012710401816,26.30010659682037,28.75439848937077,26.290304359302343,28.8597866033177,28.487177113155063,1-6-14,8
26.106560583218027,26.23119824043287,28.390257326366658,26.456316061213112,28.46385824332418,26.24903450982012,26.275001135870802,26.445546973420626,26.445546973420626,26.445546973420626,28.48578385411289,28.298455215712192,28.5175942256459,28.42859957456476,26.28484149439293,28.475596125647964,26.445289027488077,26.447788562813656,26.446098800107396,26.25464158113215,26.26660767022573,28.42069907684682,26.373671960512997,28.59219119803391,28.43525329918837,1-6-14,9
28.03763365848852,28.135477583998426,30.489021381416887,28.372131244457584,30.572797319933,28.184790225637997,28.245193221006996,28.375001675041876,28.375001675041876,28.375001675041876,30.82801615922751,30.64443551088777,30.86786284362992,30.969453345157163,28.401609025519754,30.96795585771997,28.37845955266529,28.378147009557587,28.377721745984825,28.268310178342695,30.775389299438366,30.76321627746576,28.3283153020002,31.10742004138339,28.444107596807566,1-6-14,10
26.653894140648625,26.697108822284484,28.91091669522101,26.897414790478305,28.94219236893556,26.766423114909394,26.83701167032834,26.89834257150344,26.89834257150344,26.89834257150344,29.224602221192026,29.02494688892024,29.260489387862055,27.386686553927397,27.331885997621587,29.491811218833774,26.902123636949995,26.901646544252518,26.903313446072605,26.97113095358072,29.18602785560236,29.149346945357063,27.018641081974483,29.59171850119928,29.08375325015621,1-6-14,11
25.504037416518027,25.752994151076447,27.68026589787199,25.969435226282826,27.827572074501184,25.774998755548182,25.80783880200772,25.9649238810304,25.9649238810304,25.9649238810304,28.11871240718464,28.07778653503132,28.14825196001161,28.1512548222508,28.192989795495084,28.100968183515164,25.968385531173517,25.967627245198493,25.97233334716058,28.382180486995477,28.42883000788153,28.0848118803667,28.10182623304435,28.319450989339202,28.35400837930892,1-6-14,12
27.50244276583382,27.776124152624444,30.043440247917882,28.03267673833043,30.325678868874686,27.816987216734454,27.839875266318032,28.032776292852997,28.032776292852997,28.032776292852997,30.540360449351155,30.488620569436375,30.56261611466202,30.97607669959326,30.68401588223901,30.88945787332946,28.037096649234936,28.037164245593647,28.038943637420104,30.94262386209568,30.929755762153786,30.495008134805346,30.77449932209955,31.014394538059268,30.72312260313771,1-6-14,13
25.429316493911646,25.948608433128708,27.755445305424168,26.11077307034316,28.302937506289627,25.99579490791989,26.3682310556506,26.156399718224815,26.156399718224815,26.156399718224815,28.339363389352926,28.32750488074872,28.406506994062596,28.70801871792291,28.65826245345678,28.62809278454262,26.17098399919493,26.171334608030595,26.167997987320117,28.677672939518967,28.7203137767938,28.33689222099225,28.461392371943244,28.781579349904398,28.65949199959746,1-6-14,14
26.298024795330807,26.4488023424341,28.7671052528497,26.679469035214854,28.918113713815668,26.704897175760898,26.45427827176936,26.68043068667006,26.68043068667006,26.68043068667006,28.920605389948687,26.471795409142548,28.9643526969329,26.598837400603234,26.482620745035057,29.00903580242078,26.687368091190415,26.687823455677858,26.688401817540836,26.591466959144505,26.598157193779624,28.865105957930197,26.579668808022248,29.171063104704455,26.62156332014571,1-6-14,15
25.858150724163327,26.060805580558053,28.154572661811635,26.26815890679977,28.339021356681116,26.07195953686278,26.06314070043368,26.275786965060142,26.275786965060142,26.275786965060142,28.707277023156863,28.946324155142783,28.942962728090993,28.96507323459619,28.990002454790933,28.884508837247363,26.28072150396858,26.279948449390393,26.28342647901154,29.15940757712135,29.121384706652485,28.96417682677359,28.949190737255538,29.049505768758696,29.168080762621717,1-6-14,16
26.417922531635288,26.550390794792115,28.801030812666298,26.725145532468062,28.93244876404038,26.561556882578756,26.85689964048504,26.75033026628481,26.75033026628481,26.75033026628481,29.114827250015235,29.05819897223407,29.14180996486097,29.47063575244247,29.204475656571816,29.400703999350032,26.754573964617226,26.755430097698696,26.75871183961977,29.20961022078687,29.245878171145367,29.057428554018642,29.10308207909329,29.54246541953568,29.568166270590865,1-6-14,17
26.440995514801156,26.56776936110834,28.860333898136155,26.76818558756105,28.94203269211602,26.633745440047843,26.58451230937905,26.768330110634906,26.768330110634906,26.768330110634906,29.069024020731582,26.56212139938204,29.01588497956743,26.782768862752917,26.55155546695903,28.96065543705771,26.770058606598226,26.770611980464466,26.77232353234327,26.607476527459387,26.61729711950563,29.02095106149706,26.57240227250075,29.09464008771056,26.836837037775346,1-6-14,18
26.553950153021425,26.569474926489715,28.860692496949575,26.791673234252798,28.878393575100514,26.607506650931132,26.642965215130122,26.794193387074188,26.794193387074188,26.794193387074188,29.124807473046225,29.139580341247775,29.26629908187146,29.565665393155044,29.546655731802456,29.503918548596808,26.795355349748963,26.794850279039068,26.79765567179405,29.367449042866,29.43796131458404,29.154815674194385,29.240114015962234,29.686075050507075,29.555263336867167,1-6-14,19
