distribution,K,L,direct_ms,hull_ms,max_rel_diff
1-6-14 (true),1593,1601,1.105624993215315,0.014707999071106315,0.0
bounded Pareto (true),49801,50001,1155.81545799796,0.3589999978430569,0.0
empirical Pareto n=10,10,50001,0.02070798655040562,0.016707999748177826,0.0
empirical Pareto n=100,97,50001,0.1466659887228161,0.05616700218524784,0.0
empirical Pareto n=1000,542,50001,0.6841669965069741,0.08650000381749123,0.0
empirical Pareto n=10000,1870,50001,5.007542000385001,0.15116600843612105,0.0
empirical Pareto n=100000,5632,50001,29.611708989250474,0.19079199410043657,0.0
