gen,best,pop_mean,sigma,seed,val,val_ratio
1,28.548330851278795,40.82406868838028,0.9381420095024547,0,27.472557902203427,1.0173493495226873
2,26.604647169068375,35.504167668957045,0.9023592114638895,0,,
3,27.868119436611554,32.16144232754319,0.9075929887255103,0,,
4,27.043478667986673,30.398030612768306,0.8957986977824802,0,,
5,27.797259305306202,31.65414384020098,0.8750940884446385,0,27.354497108798967,1.0129773841672325
6,24.85218063940023,25.790620014437895,0.8771325650206266,0,,
7,26.54398215191236,29.689062048102507,0.8896103803846913,0,,
8,27.37980035997647,27.50132485033802,0.9057057904109673,0,,
9,27.593461381818045,28.671566423907407,0.9219559082229479,0,,
10,27.923326253856537,30.459157937019754,0.9379992653247579,0,27.25961087942161,1.0094636071072534
11,25.877073798170176,26.945681184643334,0.9616162731453051,0,,
12,27.077726595848254,27.569655491000205,0.982269547723712,0,,
13,26.966361727370423,27.037177718583578,0.9800878459022188,0,,
14,26.66553487821229,26.75176884514413,0.9730386608073678,0,,
15,27.0409234145971,27.93621358298227,0.9519207779990586,0,27.26346688064251,1.0096064005212415
16,27.57685067614125,28.106739815631066,0.9330709086566731,0,,
17,26.706753971872484,26.760425374333188,0.9374750292448312,0,,
18,27.311281257843362,27.559323567786777,0.946972536902968,0,,
19,27.458224102827902,27.82946702100471,0.943442309569048,0,,
20,27.412217301990385,28.48074016322387,0.9608602312311035,0,27.25562316094759,1.0093159360090591
21,27.112216907291607,28.599239911525473,0.9783175808726862,0,,
22,28.097374810462828,28.62231377480319,0.9887448195921138,0,,
23,27.77130017594144,27.79291637618994,1.001849327306451,0,,
24,26.811854540642038,27.793234775738306,1.0200037759641367,0,,
25,25.497769607477803,25.80591465382453,1.0350232989343937,0,27.248309582805824,1.0090451034207104
26,29.46445630576065,30.27493443030964,1.0474345753635963,0,,
27,26.582598529689992,26.916289049589224,1.0349457557339174,0,,
28,24.897179227546683,25.22107476189531,1.0546210921598684,0,,
29,28.576295499364043,29.554910654793037,1.081500281494271,0,,
30,27.52633932767292,28.59413323689174,1.126811768398264,0,27.2281852615737,1.0082998701159718
31,27.625045298257277,29.169354580887486,1.1816564747134197,0,,
32,27.09610381186505,27.80318339895876,1.2350536027572798,0,,
33,26.03506452823286,26.420233853730295,1.2985923007974494,0,,
34,27.713236502925856,28.676090821266886,1.365011917479199,0,,
35,25.52870824703459,25.890436110504748,1.406268047494121,0,27.22308389939702,1.0081109591485038
36,25.132335664961865,25.24850999277931,1.457272633820252,0,,
37,28.024836219743335,28.848255120036605,1.5505963088084023,0,,
38,27.795215428214718,28.49454593887836,1.6536978406714489,0,,
39,27.719581698737514,28.974376581417225,1.7092472307049682,0,,
40,27.942284840520202,29.325870098683858,1.8088664649203363,0,27.220449560092707,1.0080134056776109
41,26.74976082223093,27.309924364712497,1.90805746395009,0,,
42,26.92214178437446,27.021216775109743,2.0306578514582645,0,,
43,25.630872427516973,25.957663255029487,2.1443053280268183,0,,
44,28.074641436106848,28.493083901805893,2.2670584020513105,0,,
45,26.875737681790003,27.719686871077705,2.336543495086756,0,27.209662143638234,1.0076139317315715
46,25.882738840000457,26.830941132238767,2.355562844372045,0,,
47,26.767432172800802,27.96607302540395,2.4098443407987,0,,
48,27.03807429631682,28.254436352430684,2.4675668131925446,0,,
49,26.321895132812312,26.92115300131318,2.5320783567255924,0,,
50,26.921020002917462,28.42612587286231,2.5580770826166033,0,27.210590860242934,1.007648323477584
51,27.385223209476454,27.771953805870087,2.526352268184694,0,,
52,26.725938241381186,27.337163410153842,2.4657766165380495,0,,
53,27.210823360822694,28.476972724430034,2.434467735060475,0,,
54,27.964422792096396,28.585375489409614,2.419732982913396,0,,
55,29.88248161889027,31.03628330103858,2.4017780935144533,0,27.206338245939722,1.0074908428960325
56,27.56697237714273,28.722682314798554,2.4084292954411204,0,,
57,26.04698518087539,28.400643751538695,2.4993797799040105,0,,
58,27.178793146138727,28.125100842883086,2.581473042872215,0,,
59,26.172911118767736,27.283248443312658,2.6267520898525767,0,,
60,26.40230204127515,27.683536093962765,2.6564929692116785,0,27.203802921513258,1.0073969560921436
61,26.982660437492566,27.463537902167687,2.6703171350458854,0,,
62,26.64728255163721,28.25095704156538,2.7214003799901447,0,,
63,29.111262336699856,30.28707961821165,2.81313168344318,0,,
64,26.171993627036688,27.416405272914773,2.9015581186533534,0,,
65,26.30528043441418,26.773584193057566,2.9135302866941393,0,27.2044350077536,1.0074203631781433
66,27.741746941870776,29.345192354734532,2.952660919232198,0,,
67,27.146369444612372,28.65966859205756,3.039796366233372,0,,
68,27.242099299450093,28.10172016538128,3.097933356906546,0,,
69,24.998775894196203,26.0646327392989,3.1645370439087452,0,,
70,27.815141201076013,27.98263414695046,3.272177198062463,0,27.203407048853244,1.0073822963435102
71,25.068510826493863,25.53145437119339,3.4034914758381647,0,,
72,27.22482215491654,28.16391244508845,3.469022824746918,0,,
73,27.167432814598868,27.897768415811555,3.4734037893137155,0,,
74,25.785648535780474,26.10222705984865,3.44077074633498,0,,
75,27.493328387552804,28.243291503136426,3.4296159107937765,0,27.200172739533063,1.007262525097791
76,26.810570054609205,27.77107246742851,3.439652438735226,0,,
77,25.67160432055296,25.811068559326447,3.46744955801849,0,,
78,27.935550424692163,28.86100753415657,3.4713713680707112,0,,
79,28.33095385902723,28.953025750125526,3.4594603524966665,0,,
80,27.341243441688924,28.941693862232313,3.4458002570347035,0,27.1959942405773,1.0071077891168982
81,26.489464178009484,27.806401160024826,3.559923588442066,0,,
82,26.756523623347835,26.90122836883179,3.7187189139486554,0,,
83,27.18780162653047,28.577983276832242,3.7838496058662976,0,,
84,27.318205134518657,28.70365929092913,3.821917504729817,0,,
85,28.791936663725462,29.752104744399514,3.8811797804547727,0,27.19424093773364,1.007042861725941
86,25.197421527794184,25.329412034489494,3.9465674642046693,0,,
87,29.177609983945743,30.72012118193295,4.057115138884954,0,,
88,24.503747068055315,25.78966744591975,4.08923508376533,0,,
89,25.158136578489582,25.927798780259707,4.091906366582994,0,,
90,27.34737652091635,29.189932454799145,4.030191817002894,0,27.19245488649004,1.00697672161342
91,27.037925343068878,27.526360648469858,4.012498155549312,0,,
92,25.402300559000118,27.80960349272955,3.9673190934691913,0,,
93,27.158693566944372,27.818575321505335,3.9663624207037733,0,,
94,26.884208996834666,27.336143835739545,3.9073232208751043,0,,
95,25.090275406696804,26.124222971516602,3.858906848538925,0,27.19168232431111,1.0069481124961694
96,26.554555283429817,27.30475819606253,3.8652960598420827,0,,
97,29.03448448819863,29.41330707692497,3.8426036566666752,0,,
98,26.749961610517325,27.49455694946157,3.79163220602312,0,,
99,27.615050506636035,28.214181288477224,3.802201808571638,0,,
100,28.43940658359252,29.433529267509407,3.9032160191082843,0,27.18819178250448,1.0068188525834558
101,28.509532984406135,30.953827473264393,3.9838415253930433,0,,
102,27.135639727580642,28.224695875634374,4.060790966158716,0,,
103,26.771731929725167,28.059186716573393,4.138476640080375,0,,
104,27.015436922005634,27.802073094212297,4.1148468176648665,0,,
105,26.370191991019748,26.379501255122285,3.9983965160914248,0,27.19140927102648,1.0069380009302027
106,27.627015747640062,28.83029421450733,3.9038368781147694,0,,
107,28.366770853515376,30.52391368518492,3.8450491934278,0,,
108,27.635948468327697,28.3062209684552,3.7548321768031556,0,,
109,27.32581569415302,28.19497477024259,3.638204762472456,0,,
110,27.683896987611696,29.320623020753402,3.5910801787970494,0,27.189656272083923,1.0068730847931515
111,28.298897761670066,29.729023461280576,3.5023766306439787,0,,
112,27.343070733229535,27.853122751682655,3.4455344307418816,0,,
113,26.77297850357621,27.52435204967003,3.410018602239966,0,,
114,25.792742729080743,26.681340725779844,3.336938474373307,0,,
115,27.912373349526078,28.403897395495306,3.2316377964152485,0,27.188908265437316,1.0068453850034897
116,26.839463535778158,28.132528530213946,3.1575200163502433,0,,
117,27.233671663078272,28.179338462604928,3.0631643301482323,0,,
118,27.802655172196715,29.195254649295922,3.0102464269385187,0,,
119,26.731057753828566,28.603357956931113,3.004836158885373,0,,
120,25.646163942587545,27.529122752597836,2.9553058751938375,0,27.189709498738992,1.0068750558547144
121,25.957935379706758,26.30113142432471,2.947442742801587,0,,
122,26.955052875898996,28.210418998276786,2.9731569302278436,0,,
123,28.55488871039256,29.582365067380998,2.956040055972096,0,,
124,26.87917367112001,27.516284780711345,2.917724577921187,0,,
125,26.70446383991554,26.86153705256269,2.8337314340871873,0,27.18783988365213,1.0068058212497952
126,26.770667444727344,27.614413500817285,2.773063177466037,0,,
127,27.304122937757597,28.338112337862118,2.731304948892883,0,,
128,26.948473958922918,27.972864563157493,2.677306245480781,0,,
129,25.665569087504345,26.13320173994676,2.6119783830850807,0,,
130,28.231349312525694,29.33792281865938,2.6099309181332915,0,27.18771521435722,1.0068012045618795
131,25.551351735132922,26.700904899678406,2.608017068257723,0,,
132,26.000403734823546,27.777972576311157,2.561835651219774,0,,
133,26.39979572852764,27.22702861075771,2.4729334969325847,0,,
134,26.635277068291824,28.51460555209545,2.4165851742017916,0,,
135,27.260520049881976,27.755826984205186,2.3471756465163707,0,27.188133215185193,1.006816683749218
136,26.880909825319314,28.562962685926877,2.272753577455791,0,,
137,27.781433558714866,28.837965001477777,2.177446712606356,0,,
138,27.69494097550387,28.345157872333694,2.0812961756583888,0,,
139,28.353482686819156,28.355245112501215,2.0138643993307803,0,,
140,26.41043541101542,27.485502952977676,1.9654722709352492,0,27.187997983026246,1.0068116759028636
141,25.68811339454422,26.826375253046898,1.9131370109849246,0,,
142,28.23652860229991,28.787774094804984,1.858840814739478,0,,
143,27.0809628164455,27.85930861591615,1.7788502386738758,0,,
144,28.598743282542465,29.29658569206182,1.703701065512741,0,,
145,26.043514652339425,26.331923654544852,1.6542940096848067,0,27.18506126942737,1.0067029250657487
146,27.332433871557797,27.950531441862594,1.571345376708585,0,,
147,27.2492287495985,27.40542397572538,1.5193632184087975,0,,
