policy,ratio,ci,n,spearman_vs_true
fcfs,1.0894560887036346,0.0012573152228052872,20,
random_knots,1.0672741619497876,0.0008534686024087225,20,-0.2091981383586478
cmaes_seed0,1.0048231300375297,0.0004813345772432446,20,0.7601096406678285
cmaes_seed1,1.0049311742344902,0.00048319224674712687,20,0.6245858387054058
cmaes_seed2,1.004851343679542,0.00047638199391450555,20,0.5885636498295508
