model,seed,policy,mrt,ratio,n_jobs,n_busy
tail drift α 2.0→1.2,0,fcfs,57.00832474768714,3.3836071045348195,19024,4000
tail drift α 2.0→1.2,0,static,17.30647813288478,1.0271889697527234,19024,4000
tail drift α 2.0→1.2,0,kupd_50,17.837612489486965,1.0587133127397466,19024,4000
tail drift α 2.0→1.2,0,kupd_200,17.579790264928516,1.0434108263996558,19024,4000
tail drift α 2.0→1.2,0,kupd_500,17.3504720353238,1.02980013367497,19024,4000
tail drift α 2.0→1.2,0,kupd_2000,17.145599768713204,1.017640378763844,19024,4000
tail drift α 2.0→1.2,2,genie,18.02022999208529,1.0,21479,4000
tail drift α 2.0→1.2,2,fcfs,83.85594254853578,4.653433534719943,21479,4000
tail drift α 2.0→1.2,2,static,18.4849429675497,1.0257884042361567,21479,4000
tail drift α 2.0→1.2,2,kupd_50,19.12001955398296,1.0610308282624978,21479,4000
tail drift α 2.0→1.2,2,kupd_200,18.549499511150422,1.0293708526082959,21479,4000
tail drift α 2.0→1.2,2,kupd_500,18.423714325620374,1.0223906317351277,21479,4000
tail drift α 2.0→1.2,2,kupd_2000,18.12916988686624,1.0060454219967667,21479,4000
tail drift α 2.0→1.2,4,genie,16.105188022659835,1.0,18535,4000
tail drift α 2.0→1.2,4,fcfs,47.79315241435123,2.9675625237722625,18535,4000
tail drift α 2.0→1.2,4,static,16.50120043161586,1.0245891204994837,18535,4000
tail drift α 2.0→1.2,4,kupd_50,16.936529268950633,1.0516194685290918,18535,4000
tail drift α 2.0→1.2,4,kupd_200,16.691213380091718,1.036387365152605,18535,4000
tail drift α 2.0→1.2,4,kupd_500,16.360597787968707,1.015858850263003,18535,4000
tail drift α 2.0→1.2,4,kupd_2000,16.216144051793904,1.0068894587866937,18535,4000
tail drift α 2.0→1.2,12,genie,15.77791204650662,1.0,18578,4000
tail drift α 2.0→1.2,12,fcfs,50.68359672731187,3.2123133008929217,18578,4000
tail drift α 2.0→1.2,12,static,16.288026159974162,1.0323309010700492,18578,4000
tail drift α 2.0→1.2,12,kupd_50,17.184527936268708,1.0891509526492467,18578,4000
tail drift α 2.0→1.2,12,kupd_200,16.20682366239638,1.027184307697084,18578,4000
tail drift α 2.0→1.2,12,kupd_500,16.004131768758747,1.0143377477061177,18578,4000
tail drift α 2.0→1.2,12,kupd_2000,15.962682204758314,1.0117106850201136,18578,4000
tail drift α 2.0→1.2,13,genie,16.744195011337865,1.0,19845,4000
tail drift α 2.0→1.2,13,fcfs,52.84185285966239,3.155831189488775,19845,4000
tail drift α 2.0→1.2,13,static,17.39516906021668,1.038877595993001,19845,4000
tail drift α 2.0→1.2,13,kupd_50,17.77982060972537,1.0618498290115626,19845,4000
tail drift α 2.0→1.2,13,kupd_200,17.337305114638447,1.0354218344267356,19845,4000
tail drift α 2.0→1.2,13,kupd_500,17.02622373393802,1.0168433730262452,19845,4000
tail drift α 2.0→1.2,13,kupd_2000,16.87149760644999,1.0076027898042232,19845,4000
tail drift α 2.0→1.2,15,genie,19.67756161385479,1.0,21018,4000
tail drift α 2.0→1.2,15,fcfs,86.7193467504044,4.407016908504867,21018,4000
tail drift α 2.0→1.2,15,static,21.70805024264916,1.103188020377724,21018,4000
tail drift α 2.0→1.2,15,kupd_50,21.953573127795224,1.1156653226961777,21018,4000
tail drift α 2.0→1.2,15,kupd_200,21.082368446093827,1.071391306494496,21018,4000
tail drift α 2.0→1.2,15,kupd_500,20.564263488438478,1.045061572769228,21018,4000
tail drift α 2.0→1.2,15,kupd_2000,20.20490436768484,1.0267991921041046,21018,4000
tail drift α 2.0→1.2,17,genie,18.55387000184264,1.0,21708,4000
tail drift α 2.0→1.2,17,fcfs,89.12839598304772,4.8037630949336245,21708,4000
tail drift α 2.0→1.2,17,static,18.64813617099687,1.0050806742283345,21708,4000
tail drift α 2.0→1.2,17,kupd_50,20.433358208955227,1.1012989854367812,21708,4000
tail drift α 2.0→1.2,17,kupd_200,19.284789939192923,1.0393944733512572,21708,4000
tail drift α 2.0→1.2,17,kupd_500,19.03711534918003,1.0260455283608971,21708,4000
tail drift α 2.0→1.2,17,kupd_2000,18.836111111111112,1.0152119805323871,21708,4000
tail drift α 2.0→1.2,16,genie,16.286371198336365,1.0,19235,4000
tail drift α 2.0→1.2,16,fcfs,64.17795061086562,3.940592402647763,19235,4000
tail drift α 2.0→1.2,16,static,17.13851832596829,1.0523227130988497,19235,4000
tail drift α 2.0→1.2,16,kupd_50,17.887395892903562,1.0983045685911137,19235,4000
tail drift α 2.0→1.2,16,kupd_200,17.054341564855733,1.0471541730915366,19235,4000
tail drift α 2.0→1.2,16,kupd_500,16.653171302313492,1.0225219049418814,19235,4000
tail drift α 2.0→1.2,16,kupd_2000,16.4237707304393,1.0084364730749211,19235,4000
tail drift α 2.0→1.2,14,genie,16.72688869276295,1.0,19262,4000
tail drift α 2.0→1.2,14,fcfs,60.26575744990136,3.602926913477694,19262,4000
tail drift α 2.0→1.2,14,static,17.33162755684768,1.0361536969123477,19262,4000
tail drift α 2.0→1.2,14,kupd_50,17.648006437545423,1.0550680859842752,19262,4000
tail drift α 2.0→1.2,14,kupd_200,17.423185027515316,1.0416273670221543,19262,4000
tail drift α 2.0→1.2,14,kupd_500,17.29374935105389,1.0338891869673406,19262,4000
tail drift α 2.0→1.2,14,kupd_2000,16.80263524036964,1.0045284301819657,19262,4000
tail drift α 2.0→1.2,19,genie,17.287375592968097,1.0,21502,4000
tail drift α 2.0→1.2,19,fcfs,68.52253418286672,3.9637325986449503,21502,4000
tail drift α 2.0→1.2,19,static,18.242539763742908,1.0552521211584793,21502,4000
tail drift α 2.0→1.2,19,kupd_50,18.3956073853595,1.0641064218470613,21502,4000
tail drift α 2.0→1.2,19,kupd_200,17.857616500790627,1.0329859731892725,21502,4000
