true_gittins,mean_excess_sample,mean_excess_true,dist,trial,spearman_tail_only|linear|seed0,spearman_tail_only|linear|seed1,spearman_tail_only|linear|seed2,spearman_tail_only|mlp8|seed0
26.689561866532863,27.249046663321625,27.23101876567988,1-6-14,0,0.9986548428545695,0.9986540156434572,0.9986544936629934,0.9954347523945593
25.872645333987208,26.3658850814279,26.360562537035904,1-6-14,1,0.9994500435950667,0.9994498207198548,0.9994498207198548,0.9959644846458496
26.698544143481637,27.038626465661643,27.038954324467873,1-6-14,2,0.999811581645224,0.999811581645224,0.999811581645224,0.998201495996077
26.90493055136787,27.14524814569137,27.14340368650626,1-6-14,3,0.9998005577628285,0.9998005038238859,0.9998005577628285,0.996703090006502
27.538609110356603,28.20067729083666,28.037050222754303,1-6-14,4,0.9998384639399648,0.9998384639399648,0.9998384639399648,0.9983992891082103
28.142209375615526,28.41679791215285,28.394310025605673,1-6-14,5,0.9996111429433039,0.9996110094175983,0.9996111429433039,0.9973983708474627
26.71773872325292,27.246210657341,27.241923814039872,1-6-14,6,0.9990049096738316,0.9990049096738316,0.9990049096738316,0.9970164816976147
25.48693951796271,25.71479051742887,25.741265001878322,1-6-14,7,0.9994554050829048,0.9994553344627018,0.9994553344627018,0.9947527913275188
26.180702726848185,26.488138717995575,26.45240056039471,1-6-14,8,0.9998446432708754,0.9998446432708754,0.9998446432708754,0.9978929752799504
26.106560583218027,26.456316061213112,26.40350550381033,1-6-14,9,0.9995702868620955,0.9995701921333793,0.9995702607300359,0.9977204816601446
28.03763365848852,28.372131244457584,28.35670667060794,1-6-14,10,0.9996500435411969,0.9996499390129585,0.9996500435411969,0.9979942639818896
26.653894140648625,26.897414790478305,26.901609054078563,1-6-14,11,0.9997918955708794,0.9997917385840764,0.9997918955708794,0.9975414128602889
25.504037416518027,25.969435226282826,25.88116065872983,1-6-14,12,0.9991721016112154,0.9991718917677161,0.9991721016112154,0.996571752611665
27.50244276583382,28.03267673833043,28.024030989734655,1-6-14,13,0.9995281297452334,0.9995281297452334,0.9995281297452334,0.9971868338348473
