model,seed,policy,mrt,ratio,n_jobs,n_busy
one-way drift,1,kupd_200,25.846039690646432,1.0285155191394986,20559,4000
one-way drift,1,kupd_500,25.35170436305268,1.0088439732402217,20559,4000
one-way drift,1,kupd_2000,25.259072912106618,1.0051578036761895,20559,4000
one-way drift,4,genie,25.927280068211456,1.0,19938,4000
one-way drift,4,fcfs,28.940942421506673,1.1162351910947328,19938,4000
one-way drift,4,static,29.13384642391414,1.1236753854344383,19938,4000
one-way drift,4,kupd_50,28.630742802688335,1.104270973560065,19938,4000
one-way drift,4,kupd_200,26.719583709499446,1.0305586871898456,19938,4000
one-way drift,4,kupd_500,26.207085966496138,1.0107919495430506,19938,4000
one-way drift,4,kupd_2000,26.076658641789546,1.0057614440537184,19938,4000
one-way drift,12,genie,24.87621163583755,1.0,19354,4000
one-way drift,12,fcfs,27.361185801384728,1.0998935932015965,19354,4000
one-way drift,12,static,27.455424718404466,1.1036819078533329,19354,4000
one-way drift,12,kupd_50,27.357404154180013,1.099741574587988,19354,4000
one-way drift,12,kupd_200,25.430690296579517,1.0222895137273702,19354,4000
one-way drift,12,kupd_500,25.094094244083912,1.0087586732029756,19354,4000
one-way drift,12,kupd_2000,24.970678412731218,1.0037974744015112,19354,4000
one-way drift,13,genie,25.892818547990963,1.0,20358,4000
one-way drift,13,fcfs,29.15987179487179,1.1261760376077066,20358,4000
one-way drift,13,static,29.2340971608213,1.1290426767034827,20358,4000
one-way drift,13,kupd_50,28.91352244817762,1.1166618417607934,20358,4000
one-way drift,13,kupd_200,26.54658807348462,1.025249067585359,20358,4000
one-way drift,13,kupd_500,26.16717653993516,1.0105959106551374,20358,4000
one-way drift,13,kupd_2000,25.984346202966897,1.003534866426623,20358,4000
one-way drift,22,genie,26.192692856089284,1.0,20339,4000
one-way drift,22,fcfs,29.10823098480751,1.111311125768438,20339,4000
one-way drift,22,static,29.129320025566646,1.1121162755434157,20339,4000
one-way drift,22,kupd_50,28.93920005899995,1.1048577638809733,20339,4000
one-way drift,22,kupd_200,27.111067407443826,1.0350622426033236,20339,4000
one-way drift,22,kupd_500,26.51342691381091,1.012245173090214,20339,4000
one-way drift,22,kupd_2000,26.286465902945082,1.0035801224170044,20339,4000
one-way drift,16,genie,24.884894918444168,1.0,19128,4000
one-way drift,16,fcfs,27.374303115851106,1.1000369182014043,19128,4000
one-way drift,16,static,27.41944688414889,1.1018510214333341,19128,4000
one-way drift,16,kupd_50,28.76021068590548,1.155729641622437,19128,4000
one-way drift,16,kupd_200,25.534636135508155,1.0261098638026562,19128,4000
one-way drift,16,kupd_500,25.198228251777497,1.0125913062667222,19128,4000
one-way drift,16,kupd_2000,24.985271852781263,1.0040336491138928,19128,4000
one-way drift,18,genie,25.316715321169706,1.0,20005,4000
one-way drift,18,fcfs,28.36241289677581,1.1203038204983609,20005,4000
one-way drift,18,static,28.462436890777308,1.1242547277441306,20005,4000
one-way drift,18,kupd_50,28.066507873031743,1.1086156919244052,20005,4000
one-way drift,18,kupd_200,25.82533616595851,1.0200903173392126,20005,4000
one-way drift,18,kupd_500,25.541486628342916,1.008878375583947,20005,4000
one-way drift,18,kupd_2000,25.33090777305674,1.0005605961005204,20005,4000
one-way drift,14,genie,25.925361350361353,1.0,20202,4000
one-way drift,14,fcfs,28.4020002970003,1.0955295825261246,20202,4000
one-way drift,14,static,28.98652014652015,1.1180758391287045,20202,4000
one-way drift,14,kupd_50,29.064948024948027,1.121100980316439,20202,4000
one-way drift,14,kupd_200,26.67823631323631,1.0290400952449779,20202,4000
one-way drift,14,kupd_500,26.163562023562026,1.0091879403330806,20202,4000
one-way drift,14,kupd_2000,26.020487575487575,1.0036692343007554,20202,4000
one-way drift,15,genie,27.994285163962058,1.0,20767,4000
one-way drift,15,fcfs,30.957680936100544,1.1058571688750731,20767,4000
one-way drift,15,static,31.26531805267973,1.1168464516796657,20767,4000
one-way drift,15,kupd_50,31.205164443588387,1.114697669928711,20767,4000
one-way drift,15,kupd_200,28.64907497471951,1.023390124338677,20767,4000
one-way drift,15,kupd_500,28.42737901478307,1.0154707951385216,20767,4000
one-way drift,15,kupd_2000,28.170273029325376,1.0062865640016367,20767,4000
one-way drift,19,genie,27.060260190806588,1.0,19601,4000
one-way drift,19,fcfs,29.267110861690732,1.0815531948075612,19601,4000
one-way drift,19,static,29.2884852813632,1.0823430770748326,19601,4000
one-way drift,19,kupd_50,29.955886944543643,1.107006611662988,19601,4000
one-way drift,19,kupd_200,27.98846997602163,1.0343015838972012,19601,4000
one-way drift,19,kupd_500,27.361774909443398,1.0111423436622848,19601,4000
one-way drift,19,kupd_2000,27.1827896535891,1.004528022344151,19601,4000
one-way drift,17,genie,24.960050383013726,1.0,19451,4000
one-way drift,17,fcfs,27.37816667523521,1.0968794635874255,19451,4000
one-way drift,17,static,27.445215670145494,1.0995657159739958,19451,4000
one-way drift,17,kupd_50,26.964714410570153,1.0803149030869215,19451,4000
one-way drift,17,kupd_200,25.509261734615187,1.0220036155045271,19451,4000
one-way drift,17,kupd_500,25.155678371291962,1.0078376439661103,19451,4000
one-way drift,17,kupd_2000,25.017247442290888,1.0022915442236482,19451,4000
one-way drift,21,genie,27.193744316278174,1.0,20893,4000
one-way drift,21,fcfs,30.145547312497012,1.1085471335571795,20893,4000
one-way drift,21,static,30.464724548891972,1.1202842901871293,20893,4000
one-way drift,21,kupd_50,30.877769587900254,1.1354732628495305,20893,4000
one-way drift,21,kupd_200,28.19057244053032,1.0366565233775271,20893,4000
one-way drift,21,kupd_500,27.69035274972479,1.0182618630105067,20893,4000
one-way drift,21,kupd_2000,27.368927870578663,1.006442053446668,20893,4000
one-way drift,20,genie,27.879052579609972,1.0,20255,4000
