dist,rho,policy,n_points,gap_n10,gap_n100,gap_n1000,slope,ci_lo,ci_hi,theory,ci_excludes_theory,boot_valid,note
1-6-14,0.8,empirical,3,0.444945715140729,0.05988692086853287,0.006353823364122713,-0.9226359457695005,-0.9672067018535118,-0.8798027278536734,-0.25,True,1.0,
1-6-14,0.8,truncated,3,0.7178241656061299,0.38633606148999156,0.17202682841159023,-0.3102109461485615,-0.33027994375647257,-0.2885434314233899,-0.3333333333333333,True,1.0,
1-6-14,0.98,empirical,3,3.2637285987301716,0.5217239058948677,0.05168164968457334,-0.9001888345484753,-0.9507103243534075,-0.8491876357456085,-0.25,True,1.0,
1-6-14,0.98,truncated,2,,0.9776700815243582,0.3997811336958328,-0.3883700299682306,-0.45310590875234097,-0.322365309446499,-0.3333333333333333,False,1.0,n = 10 dropped (truncated = empirical there); two-point slope
bounded-Pareto,0.8,empirical,3,0.20902494827189777,0.05184132785330786,0.019407877599479706,-0.5161100400408998,-0.559060231701771,-0.47421580484089654,-0.25,True,1.0,
bounded-Pareto,0.8,truncated,3,0.24701637405669397,0.15076705833142978,0.07715981437796482,-0.252667284119265,-0.27293777563759897,-0.23264776419188993,-0.3333333333333333,True,1.0,
bounded-Pareto,0.98,empirical,3,0.6661938402757701,0.17529834330933625,0.10571777584567799,-0.39972629760889977,-0.43110075181537233,-0.3682956510047226,-0.25,True,1.0,
bounded-Pareto,0.98,truncated,2,,0.22057939124032733,0.07360292898934984,-0.4766698366137397,-0.5423684341869833,-0.40886002326760645,-0.3333333333333333,True,1.0,n = 10 dropped (truncated = empirical there); two-point slope
