arm,seed,final_ratio
scratch,1,1.0897632094909886
scratch,0,1.0897632094909886
scratch,2,1.1592403334597312
finetune,0,1.0021604460970641
finetune,2,1.0084186028839366
finetune,1,1.00497403014105
