model,seed,policy,mrt,ratio,n_jobs,n_busy
T=100,7,genie,26.341047437121933,1.0,12564,2500
T=100,7,fcfs,28.384819325055716,1.0775888617494205,12564,2500
T=100,7,static,27.853735275390004,1.0574270192511885,12564,2500
T=100,7,kupd_50,29.497960840496656,1.1198476792128527,12564,2500
T=100,7,kupd_200,28.142780165552374,1.0684001929965508,12564,2500
T=100,7,kupd_500,27.423857847819164,1.0411073406736,12564,2500
T=100,7,kupd_2000,27.218888888888888,1.033325988796096,12564,2500
T=100,11,genie,30.61729423474466,1.0,13061,2500
T=100,11,fcfs,33.26983462215757,1.086635362585463,13061,2500
T=100,11,static,32.21915550111018,1.0523188383037363,13061,2500
T=100,11,kupd_50,34.27067988668555,1.1193242493582274,13061,2500
T=100,11,kupd_200,32.15812112395682,1.0503253774614616,13061,2500
T=100,11,kupd_500,32.2930158487099,1.0547312117497183,13061,2500
T=100,11,kupd_2000,31.64319347676288,1.033507181730449,13061,2500
T=100,14,genie,23.726423545563755,1.0,11654,2500
T=100,14,fcfs,25.784194268062468,1.0867290731174468,11654,2500
T=100,14,static,24.792755277158058,1.0449427925598032,11654,2500
T=100,14,kupd_50,27.265419598421143,1.1491584286212024,11654,2500
T=100,14,kupd_200,25.32206538527544,1.0672516798263947,11654,2500
T=100,14,kupd_500,24.803772953492366,1.0454071556911935,11654,2500
T=100,14,kupd_2000,24.399518620216234,1.028369006957997,11654,2500
T=100,13,genie,26.854228431604707,1.0,12669,2500
T=100,13,fcfs,28.699421422369564,1.0687114506180804,12669,2500
T=100,13,static,28.252748441076644,1.052078204854548,12669,2500
T=100,13,kupd_50,29.959834241060857,1.115646808373804,12669,2500
T=100,13,kupd_200,28.90753729576131,1.0764612868839705,12669,2500
T=100,13,kupd_500,28.399649538242954,1.0575485201734354,12669,2500
T=100,13,kupd_2000,27.928059831083747,1.039987423292164,12669,2500
T=100,16,genie,23.675808372895986,1.0,11585,2500
T=100,16,fcfs,25.104392749244713,1.0603394128660109,11585,2500
T=100,16,static,25.014873543375053,1.0565583717095812,11585,2500
T=100,16,kupd_50,26.167072075960295,1.1052240187041007,11585,2500
T=100,16,kupd_200,25.148573154941733,1.0622054697710666,11585,2500
T=100,16,kupd_500,24.66339835994821,1.0417130419159337,11585,2500
T=100,16,kupd_2000,24.33274233923177,1.0277470553904229,11585,2500
T=100,12,genie,25.654073078139827,1.0,12644,2500
T=100,12,fcfs,27.924962828218916,1.0885196570214086,12644,2500
T=100,12,static,27.25794052515027,1.0625190176283204,12644,2500
T=100,12,kupd_50,29.17686649794369,1.1373190685577987,12644,2500
T=100,12,kupd_200,27.739409996836446,1.0812867770488095,12644,2500
T=100,12,kupd_500,26.780230939576082,1.0438978191886368,12644,2500
T=100,12,kupd_2000,26.468903037013607,1.0317622061959475,12644,2500
T=100,15,genie,25.178121162505118,1.0,12215,2500
T=100,15,fcfs,26.945086369218174,1.0701785965405708,12215,2500
T=100,15,static,26.37300286532951,1.0474571432519673,12215,2500
T=100,15,kupd_50,27.876813753581665,1.1071840338545753,12215,2500
T=100,15,kupd_200,26.485257470323372,1.051915561903198,12215,2500
