policy,mean,ci,sd,n
genie,1.0,0.0,0.0,20
fcfs,1.1063250921787486,0.004647970031259396,0.009931254182566908,20
static,1.1127224116485983,0.005222903672046902,0.011159707052608808,20
kupd_500,1.0109998945275942,0.001044089685418122,0.0022308921928384544,20
nn_tail_only_500,1.1159501292846312,0.004950692326171336,0.010578076781955712,20
nn_no_hazard_500,1.0225729290995227,0.0016180529082077126,0.0034572715839775586,20
nn_full_500,1.0169355998507266,0.0014574820222955395,0.0031141819617147284,20
