dist,rho,n,trial,ell,empirical,truncated,true_paired,true_gittins,fcfs,plcfs
1-6-14,0.98,10,28,15.02,347.1812082924974,347.1812082924974,238.52668687550798,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,29,13.97,1714.8684097587925,1714.8684097587925,240.48738126341962,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,30,14.44,971.3398686070242,971.3398686070242,241.54423574933023,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,31,14.92,475.34663942626196,475.34663942626196,264.70960953621983,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,40,14.61,610.9774825375179,610.9774825375179,226.54285156382267,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,41,14.88,419.1924185828209,419.1924185828209,244.06560716320053,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,42,13.83,1911.8548643692639,1911.8548643692639,249.26963150154145,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,43,15.08,363.11756344214,363.11756344214,252.88032142073143,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,8,14.57,781.5885299088183,781.5885299088183,247.3001076849326,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,9,14.26,1062.6157823015285,1062.6157823015285,212.8152260209293,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,10,14.22,1346.7999772665185,1346.7999772665185,228.2279837318228,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,11,14.73,595.6243613220802,595.6243613220802,244.38227023747157,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,16,14.84,440.8959900058792,440.8959900058792,228.9756495689018,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,17,14.200000000000001,1729.2117479728008,1729.2117479728008,268.7270910218199,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,18,14.61,802.9117276433783,802.9117276433783,259.4086252572762,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,19,14.64,753.1512454214859,753.1512454214859,240.8301216392671,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,36,14.67,715.7897914117889,715.7897914117889,257.8527357986465,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,37,14.5,877.70057351228,877.70057351228,246.56911725179714,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,38,14.22,1515.934436789326,1515.934436789326,259.9023512332135,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,39,14.620000000000001,773.049209570066,773.049209570066,259.1441460885822,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,20,14.09,1388.7474382753467,1388.7474382753467,224.18571976358487,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,21,14.64,651.0296809338207,651.0296809338207,242.99820671132917,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,22,13.950000000000001,1953.9057906280868,1953.9057906280868,259.18068018292365,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,23,15.1,352.24265442301186,352.24265442301186,256.6462705498192,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,44,14.51,932.4024944082325,932.4024944082325,260.7232076198018,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,45,14.56,900.9068859602104,900.9068859602104,264.3561031079341,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,46,14.26,1464.5448162758569,1464.5448162758569,266.942592561973,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,47,14.530000000000001,916.2498714244142,916.2498714244142,263.38651577376925,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,24,14.66,649.273855041496,649.273855041496,251.78875787271065,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,25,14.16,1490.5182846599905,1490.5182846599905,234.6758550028123,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,26,14.58,878.2097044647418,878.2097044647418,267.29561895644537,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,27,14.4,1057.496278946446,1057.496278946446,245.1469427328135,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,12,14.02,1608.822242861838,1608.822242861838,236.260783600439,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,13,14.94,407.4927791250176,407.4927791250176,268.2573840245037,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,14,14.64,774.69995877814,774.69995877814,270.82676996059575,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,15,14.14,1429.2287477304876,1429.2287477304876,237.8139878545725,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,4,13.75,1763.3711308829802,1763.3711308829802,236.06183607228556,246.59908642224494,279.7048335461678,352.8057550150208
1-6-14,0.98,10,5,14.43,1132.6807866431307,1132.6807866431307,248.02705068638016,246.59908642224494,279.7048335461678,352.8057550150208
