dist,rho,n,trial,ell,empirical,truncated,true_gittins,fcfs,plcfs,true_paired
1-6-14,0.8,10,4,14.27,37.549814814814816,48.3101975308642,27.02858317223873,29.31315334077942,35.28057550150213,26.758346674631618
1-6-14,0.8,10,5,14.18,42.16868459946792,49.4296013400335,27.02858317223873,29.31315334077942,35.28057550150213,28.03763365848852
1-6-14,0.8,10,6,14.1,41.84791798606713,46.94895562856238,27.02858317223873,29.31315334077942,35.28057550150213,26.14797617162761
1-6-14,0.8,10,7,5.3500000000000005,40.78242487430331,41.1018712242273,27.02858317223873,29.31315334077942,35.28057550150213,27.77095178703668
1-6-14,0.8,10,0,5.92,62.98988129127211,38.73504463680551,27.02858317223873,29.31315334077942,35.28057550150213,27.20153275625012
1-6-14,0.8,10,1,14.12,33.83378123127157,44.38501787596354,27.02858317223873,29.31315334077942,35.28057550150213,26.18437000144661
1-6-14,0.8,10,2,14.28,40.470937239628746,42.45945629638241,27.02858317223873,29.31315334077942,35.28057550150213,27.865343447848243
1-6-14,0.8,10,3,14.03,41.68647235032123,49.24840408340231,27.02858317223873,29.31315334077942,35.28057550150213,27.577678648851048
1-6-14,0.8,10,12,13.56,41.49177030621837,60.12815908954538,27.02858317223873,29.31315334077942,35.28057550150213,27.586014760885657
1-6-14,0.8,10,13,14.51,29.74631467730469,35.015817797614346,27.02858317223873,29.31315334077942,35.28057550150213,27.415710364167783
1-6-14,0.8,10,14,13.85,36.865248667318866,51.42023099806337,27.02858317223873,29.31315334077942,35.28057550150213,26.70721444686246
1-6-14,0.8,10,15,13.87,31.42509909733124,54.97178021978022,27.02858317223873,29.31315334077942,35.28057550150213,27.68019642857143
1-6-14,0.8,10,8,14.43,34.74513727776159,37.17975769940736,27.02858317223873,29.31315334077942,35.28057550150213,26.719932575536777
1-6-14,0.8,10,9,13.43,45.83828265507546,61.91231411879648,27.02858317223873,29.31315334077942,35.28057550150213,26.973009590652605
1-6-14,0.8,10,10,13.87,47.3961927536232,50.23033416149069,27.02858317223873,29.31315334077942,35.28057550150213,26.090462111801244
1-6-14,0.8,10,11,13.81,41.56168123111859,52.882816852861865,27.02858317223873,29.31315334077942,35.28057550150213,26.482774477403133
