gen,best,pop_mean,sigma,seed,val,tier,arch
1,0.8313875042523182,1.4050783544486054,1.2334902635999685,0,0.8182719146637988,tail_only,linear
2,0.8115699291936949,0.948817217060136,1.5633031733360414,0,,tail_only,linear
3,0.8173486143446034,0.95337910072177,1.7682000999467833,0,,tail_only,linear
4,0.8128903111987547,0.88073559221854,1.9236092021460625,0,,tail_only,linear
5,0.8137152027028796,0.8989795273724159,2.947092569522471,0,,tail_only,linear
6,0.8230738550335575,0.8413426545654865,3.183147328406502,0,,tail_only,linear
7,0.8231932040318068,0.8481456751112435,3.603278140182837,0,,tail_only,linear
8,0.8063984895579852,0.874041267117194,3.4417211145349933,0,,tail_only,linear
9,0.8129208961935694,0.8306595571197078,3.4555884056747233,0,,tail_only,linear
10,0.8148402728718054,0.8173030529128462,4.990910073620446,0,0.815136995592453,tail_only,linear
11,0.8088242854563723,0.8112031319106926,5.200378359469319,0,,tail_only,linear
12,0.8154517007751303,0.8274795549590417,7.436801846860837,0,,tail_only,linear
13,0.8209212464836291,0.8303691350385364,7.919711146611144,0,,tail_only,linear
14,0.8202970567973338,0.8213482311532481,8.41754881754145,0,,tail_only,linear
15,0.803293087048305,0.8042897305327027,8.929697387073617,0,,tail_only,linear
16,0.8116401005105037,0.812927275717782,9.183459866483888,0,,tail_only,linear
17,0.8153291716417906,0.8161600260794766,8.1720355250184,0,,tail_only,linear
18,0.8102687803469082,0.8110641748253531,6.714158835749516,0,,tail_only,linear
19,0.8067418592908276,0.8073043236138588,7.267052906396545,0,,tail_only,linear
20,0.81354059487143,0.8141544188857504,7.323892897431917,0,0.8134259453405541,tail_only,linear
21,0.8195117125107345,0.8198959900121326,6.804896555653192,0,,tail_only,linear
22,0.8165927928942331,0.8170405149383447,8.129487048941868,0,,tail_only,linear
23,0.8207725793663707,0.8212757444403735,7.67427528080924,0,,tail_only,linear
24,0.8163633997735433,0.8166181361698541,7.704370759953598,0,,tail_only,linear
25,0.810620119333938,0.8106881014923006,6.38301631530933,0,,tail_only,linear
26,0.815804309726287,0.8158966473431981,5.8438685807813515,0,,tail_only,linear
27,0.8171633580029577,0.817206617317494,6.224508288873753,0,,tail_only,linear
28,0.8131924764597934,0.8132194249953338,9.13998802623652,0,,tail_only,linear
29,0.8301041721524294,0.8301799315757047,9.269399989828726,0,,tail_only,linear
30,0.823798634668817,0.823851815882759,12.274354676946984,0,0.8132418335377873,tail_only,linear
31,0.8124868103053717,0.8125271922057776,16.026468061234056,0,,tail_only,linear
32,0.8172720513971289,0.9524927278059848,13.240536284437196,0,,tail_only,linear
33,0.8138356858945517,0.8139511807291879,12.46581297775516,0,,tail_only,linear
34,0.8104278413156336,0.8105035606874482,13.660245823867378,0,,tail_only,linear
